,totaltraveltime,day,mean_temp,rain,snow,hail,snowfall,precip,red_sox_game,prevlinkratio,prevtotaltraveltime,date,time,holiday,friday_bforholiday,school_holiday
110,11.4,2,42,0,0,0,0.0,0.0,0,0.707246914626,10.833333334,2014-04-02,388,0.0,0.0,0.0
111,9.7,2,42,0,0,0,0.0,0.0,0,0.672914540264,10.166666666,2014-04-02,396,0.0,0.0,0.0
112,13.616666667,2,42,0,0,0,0.0,0.0,0,0.690080727445,11.4,2014-04-02,413,0.0,0.0,0.0
113,13.45,2,42,0,0,0,0.0,0.0,0,0.731279576844,9.7,2014-04-02,415,0.0,0.0,0.0
114,12.1,2,42,0,0,0,0.0,0.0,0,0.714113389663,13.616666667,2014-04-02,425,0.0,0.0,0.0
115,18.733333333,2,42,0,0,0,0.0,0.0,0,0.696947202276,13.45,2014-04-02,446,0.0,0.0,0.0
116,15.933333334,2,42,0,0,0,0.0,0.0,0,1.00593857277,12.1,2014-04-02,453,0.0,0.0,0.0
117,11.766666667,2,42,0,0,0,0.0,0.0,0,1.02997123499,18.733333333,2014-04-02,469,0.0,0.0,0.0
118,18.833333333,2,42,0,0,0,0.0,0.0,0,0.727846339532,15.933333334,2014-04-02,477,0.0,0.0,0.0
119,16.9,2,42,0,0,0,0.0,0.0,0,1.08146979674,11.766666667,2014-04-02,481,0.0,0.0,0.0
120,23.2,2,42,0,0,0,0.0,0.0,0,0.844576412694,18.833333333,2014-04-02,499,0.0,0.0,0.0
121,17.466666666,2,42,0,0,0,0.0,0.0,0,2.01187714575,16.9,2014-04-02,504,0.0,0.0,0.0
122,16.666666667,2,42,0,0,0,0.0,0.0,0,1.16386749554,23.2,2014-04-02,519,0.0,0.0,0.0
123,18.016666667,2,42,0,0,0,0.0,0.0,0,1.09520274661,17.466666666,2014-04-02,522,0.0,0.0,0.0
124,18.716666667,2,42,0,0,0,0.0,0.0,0,1.07117008439,16.666666667,2014-04-02,532,0.0,0.0,0.0
125,16.05,2,42,0,0,0,0.0,0.0,0,1.08490303426,18.016666667,2014-04-02,542,0.0,0.0,0.0
126,15.833333333,2,42,0,0,0,0.0,0.0,0,1.03683770982,18.716666667,2014-04-02,557,0.0,0.0,0.0
127,14.85,2,42,0,0,0,0.0,0.0,0,1.00250533546,16.05,2014-04-02,569,0.0,0.0,0.0
