cluster,date,totaltraveltime,time,day,mean_temp,rain,snow,hail,snowfall,precip,red_sox_game,prevlinkratio,prevtotaltraveltime,holiday,friday_bforholiday,school_holiday
0,2014-04-20,13.733333334000001,675,6,44,0,0,0,0.0,0.0,0,1.4226180081799999,16.050000000000001,0.0,0.0,1.0
0,2014-04-20,5.9000000000000004,723,6,44,0,0,0,0.0,0.0,0,0.86976893085899998,13.733333334000001,0.0,0.0,1.0
0,2014-04-30,18.766666666999999,706,2,43,1,0,0,0.0,0.34999999999999998,0,0.99907209794200003,17.216666665999998,0.0,0.0,0.0
0,2014-04-30,16.266666666999999,685,2,43,1,0,0,0.0,0.34999999999999998,0,0.89950821175600004,19.75,0.0,0.0,0.0
0,2014-04-30,17.216666665999998,672,2,43,1,0,0,0.0,0.34999999999999998,0,1.0849030342599999,15.166666667000001,0.0,0.0,0.0
0,2014-04-30,19.75,651,2,43,1,0,0,0.0,0.34999999999999998,0,0.90637468679299993,13.65,0.0,0.0,0.0
0,2014-04-30,15.166666667000001,647,2,43,1,0,0,0.0,0.34999999999999998,0,1.0677368468700001,18.533333334000002,0.0,0.0,0.0
0,2014-04-30,13.65,635,2,43,1,0,0,0.0,0.34999999999999998,0,1.08146979674,17.216666667000002,0.0,0.0,0.0
0,2014-04-20,16.350000000000001,699,6,44,0,0,0,0.0,0.0,0,0.669053023754,16.616666666,0.0,0.0,1.0
0,2014-04-20,18.016666666999999,788,6,44,0,0,0,0.0,0.0,0,0.82047028686800005,18.733333333000001,0.0,0.0,1.0
0,2014-04-25,15.1,890,4,50,0,0,0,0.0,0.0,0,1.0532769402200002,18.716666667000002,0.0,0.0,0.0
0,2014-04-25,17.383333332999999,876,4,50,0,0,0,0.0,0.0,0,1.1262763321200002,16.066666666,0.0,0.0,0.0
0,2014-04-25,18.716666667000002,857,4,50,0,0,0,0.0,0.0,0,1.0706577477500001,13.550000000000001,0.0,0.0,0.0
0,2014-04-20,11.85,767,6,44,0,0,0,0.0,0.0,0,1.2641580815200002,17.433333333,0.0,0.0,1.0
0,2014-04-20,18.733333333000001,757,6,44,0,0,0,0.0,0.0,0,1.1655607939599999,5.9000000000000004,0.0,0.0,1.0
0,2014-04-20,17.433333333,736,6,44,0,0,0,0.0,0.0,0,1.8557418079400003,16.350000000000001,0.0,0.0,1.0
0,2014-04-25,19.183333333,903,4,50,0,0,0,0.0,0.0,0,0.91770664098800003,17.383333332999999,0.0,0.0,0.0
0,2014-04-14,22.483333334000001,729,0,66,0,0,0,0.0,0.0,0,0.84704261995600005,19.883333332999999,0.0,0.0,0.0
0,2014-04-14,16.216666667000002,708,0,66,0,0,0,0.0,0.0,0,1.3873372951700003,18.033333332999998,0.0,0.0,0.0
0,2014-04-14,19.883333332999999,690,0,66,0,0,0,0.0,0.0,0,0.87144302471599999,11.566666667,0.0,0.0,0.0
0,2014-04-04,20.533333334000002,875,4,41,1,0,0,0.0,0.26000000000000001,0,0.86904037958399993,16.283333332999998,0.0,0.0,0.0
0,2014-04-29,16.966666665999998,885,1,43,1,0,0,0.0,0.01,0,1.0845819844600002,14.050000000000001,0.0,0.0,0.0
0,2014-04-29,16.216666667000002,864,1,43,1,0,0,0.0,0.01,0,0.61775543444199998,15.066666667,0.0,0.0,0.0
0,2014-04-29,14.050000000000001,855,1,43,1,0,0,0.0,0.01,0,1.1021318548999999,22.533333333000002,0.0,0.0,0.0
0,2014-04-29,18.699999999999999,624,1,43,1,0,0,0.0,0.01,0,0.84590374846499994,15.133333334000001,0.0,0.0,0.0
0,2014-04-29,15.066666667,854,1,43,1,0,0,0.0,0.01,0,1.8813460959400001,8.6333333339999996,0.0,0.0,0.0
0,2014-04-04,13.5,864,4,41,1,0,0,0.0,0.26000000000000001,0,1.27922743888,17.550000000000001,0.0,0.0,0.0
0,2014-04-29,16.016666666999999,639,1,43,1,0,0,0.0,0.01,0,1.1618014138400001,18.699999999999999,0.0,0.0,0.0
0,2014-04-29,17.616666667000001,681,1,43,1,0,0,0.0,0.01,0,0.82133392997700005,16.016666666999999,0.0,0.0,0.0
0,2014-04-19,21.0,903,5,50,0,0,0,0.0,0.0,0,0.99547312683699996,18.783333332999998,0.0,0.0,0.0
0,2014-04-19,18.899999999999999,873,5,50,0,0,0,0.0,0.0,0,1.3449477352000001,18.399999999999999,0.0,0.0,0.0
0,2014-04-19,18.783333332999998,864,5,50,0,0,0,0.0,0.0,0,1.09078438366,19.866666667000001,0.0,0.0,0.0
0,2014-04-19,18.399999999999999,846,5,50,0,0,0,0.0,0.0,0,1.4155486663200001,19.816666667,0.0,0.0,0.0
0,2014-04-19,19.866666667000001,833,5,50,0,0,0,0.0,0.0,0,1.11196466296,13.733333332999999,0.0,0.0,0.0
0,2014-04-29,14.133333334000001,652,1,43,1,0,0,0.0,0.01,0,1.08809195859,15.566666667,0.0,0.0,0.0
0,2014-04-04,16.283333332999998,855,4,41,1,0,0,0.0,0.26000000000000001,0,1.0984670400399998,13.699999999999999,0.0,0.0,0.0
0,2014-04-04,17.550000000000001,854,4,41,1,0,0,0.0,0.26000000000000001,0,0.90727815643099996,16.316666667,0.0,0.0,0.0
0,2014-04-04,13.699999999999999,833,4,41,1,0,0,0.0,0.26000000000000001,0,0.94203977168999997,16.25,0.0,0.0,0.0
